dataset,system,n,fuzzy_avg,judge_avg,latency_p50,latency_p95
Claude Haiku t200,graph,105,0.6664342666331013,0.7571428571428571,12268.0,52996.79999999998
Claude Haiku t200,llm-only,96,0.5807589894952343,0.6510416666666666,5147.0,15952.0
Claude Haiku t200,sql-fts,105,0.4868332576203276,0.49047619047619045,5759.0,13409.199999999997
Claude Haiku t200,sql-t2s,103,0.8043330351307192,0.8349514563106796,13119.0,51136.69999999999
Claude Haiku t2000,graph,104,0.700404239961973,0.7644230769230769,11752.5,58747.99999999998
Claude Haiku t2000,llm-only,88,0.6098141873474683,0.6477272727272727,5279.5,13199.049999999996
Claude Haiku t2000,sql-fts,105,0.4913391715059407,0.4523809523809524,5485.0,14127.399999999998
Claude Haiku t2000,sql-t2s,105,0.7921876235803317,0.8047619047619048,13543.0,52436.799999999996
Claude Haiku t20000,graph,101,0.6701544717792091,0.7574257425742574,12487.0,56209.0
Claude Haiku t20000,llm-only,39,0.5367675504012314,0.6153846153846154,6866.0,20998.300000000003
Claude Haiku t20000,sql-fts,104,0.48114425308566705,0.4855769230769231,5033.5,12901.05
Claude Haiku t20000,sql-t2s,98,0.7727879185017476,0.8010204081632653,13357.0,50486.2
Llama 8B t200,graph,105,0.3340633171278038,0.32857142857142857,12862.0,28475.599999999995
Llama 8B t200,llm-only,88,0.2648585508782495,0.2159090909090909,12833.0,21847.549999999996
Llama 8B t200,sql-fts,105,0.3356205226361275,0.32857142857142857,9590.0,21100.0
Llama 8B t200,sql-t2s,105,0.21929209111434175,0.16666666666666666,7370.0,16981.799999999992
Qwen 72B t200,graph,108,0.48342220301233213,0.5787037037037037,5425.5,13255.199999999993
Qwen 72B t200,llm-only,92,0.4808012344379629,0.592391304347826,2694.0,7155.9
Qwen 72B t200,sql-fts,109,0.3480247696327348,0.44954128440366975,1682.0,5122.799999999996
Qwen 72B t200,sql-t2s,103,0.6374148717969085,0.6796116504854369,15030.0,52782.2
Qwen 72B t2000,graph,105,0.46385421574069347,0.6095238095238096,4914.0,11217.999999999998
Qwen 72B t2000,llm-only,85,0.4395628986809615,0.6705882352941176,2731.0,6688.199999999996
Qwen 72B t2000,sql-fts,104,0.36112113605718127,0.4519230769230769,1600.5,4549.75
Qwen 72B t2000,sql-t2s,97,0.6485909661096794,0.6752577319587629,15107.0,60244.199999999946
Qwen 72B t20000,graph,103,0.4391524678448659,,5728.0,16111.399999999983
Qwen 72B t20000,llm-only,54,0.4686993106348186,,3335.0,9632.699999999995
Qwen 72B t20000,sql-fts,103,0.37959100362988235,,1641.0,5466.999999999997
Qwen 72B t20000,sql-t2s,91,0.6537004921550968,,14978.0,52343.5
