model,system,median,mean,count
claude-haiku-4-5,graph,12.825,20.365051391862952,934
claude-haiku-4-5,graph-cypher,12.661,18.74533836858006,993
claude-haiku-4-5,llm-only,6.041,8.121730600292825,683
claude-haiku-4-5,sql-fts,5.4375,6.91883299389002,982
claude-haiku-4-5,sql-t2s,12.196,17.539535564853555,956
llama-3.1-8b,graph,3.6565,5.712013541666667,960
llama-3.1-8b,graph-cypher,4.9855,11.28257855626327,942
llama-3.1-8b,llm-only,1.6749999999999998,3.2964305177111717,734
llama-3.1-8b,sql-fts,1.178,3.1320481444333,997
llama-3.1-8b,sql-t2s,3.52,7.941876033057851,968
qwen-2.5-72b,graph,6.5705,9.927286437246963,988
qwen-2.5-72b,graph-cypher,35.8625,53.80147888888889,900
qwen-2.5-72b,llm-only,3.898,5.574676680972819,699
qwen-2.5-72b,sql-fts,2.107,3.624041025641026,975
qwen-2.5-72b,sql-t2s,19.23,30.82404305705059,929
