model,tier,system,win_share,total,win_rate
claude-haiku-4-5,200,graph,48.53333333333333,226.0,0.21474926253687315
claude-haiku-4-5,200,graph-cypher,55.7,226.0,0.24646017699115044
claude-haiku-4-5,200,llm-only,35.78333333333333,226.0,0.15833333333333333
claude-haiku-4-5,200,sql-fts,29.616666666666667,226.0,0.131047197640118
claude-haiku-4-5,200,sql-t2s,56.36666666666667,226.0,0.2494100294985251
claude-haiku-4-5,2000,graph,62.03333333333333,267.0,0.23233458177278402
claude-haiku-4-5,2000,graph-cypher,63.53333333333333,267.0,0.2379525593008739
claude-haiku-4-5,2000,llm-only,41.86666666666667,267.0,0.1568039950062422
claude-haiku-4-5,2000,sql-fts,32.95,267.0,0.12340823970037454
claude-haiku-4-5,2000,sql-t2s,66.61666666666666,267.0,0.24950062421972533
claude-haiku-4-5,20000,graph,30.1,143.0,0.2104895104895105
claude-haiku-4-5,20000,graph-cypher,36.1,143.0,0.25244755244755246
claude-haiku-4-5,20000,llm-only,23.266666666666666,143.0,0.1627039627039627
claude-haiku-4-5,20000,sql-fts,17.6,143.0,0.12307692307692308
claude-haiku-4-5,20000,sql-t2s,35.93333333333333,143.0,0.2512820512820513
llama-3.1-8b,200,graph,13.45,266.0,0.05056390977443609
llama-3.1-8b,200,graph-cypher,12.366666666666667,266.0,0.04649122807017544
llama-3.1-8b,200,llm-only,90.28333333333333,266.0,0.3394110275689223
llama-3.1-8b,200,sql-fts,135.53333333333333,266.0,0.5095238095238095
llama-3.1-8b,200,sql-t2s,14.366666666666667,266.0,0.05401002506265664
llama-3.1-8b,2000,graph,25.666666666666668,255.0,0.10065359477124183
llama-3.1-8b,2000,graph-cypher,20.5,255.0,0.0803921568627451
llama-3.1-8b,2000,llm-only,82.0,255.0,0.3215686274509804
llama-3.1-8b,2000,sql-fts,104.75,255.0,0.4107843137254902
llama-3.1-8b,2000,sql-t2s,22.083333333333332,255.0,0.08660130718954248
llama-3.1-8b,20000,graph,13.45,160.0,0.0840625
llama-3.1-8b,20000,graph-cypher,8.366666666666667,160.0,0.05229166666666667
llama-3.1-8b,20000,llm-only,53.95,160.0,0.33718750000000003
llama-3.1-8b,20000,sql-fts,69.78333333333333,160.0,0.43614583333333334
llama-3.1-8b,20000,sql-t2s,14.45,160.0,0.09031249999999999
qwen-2.5-72b,200,graph,36.36666666666667,214.0,0.16993769470404985
qwen-2.5-72b,200,graph-cypher,36.86666666666667,214.0,0.1722741433021807
qwen-2.5-72b,200,llm-only,42.7,214.0,0.19953271028037384
qwen-2.5-72b,200,sql-fts,35.61666666666667,214.0,0.1664330218068536
qwen-2.5-72b,200,sql-t2s,62.45,214.0,0.29182242990654206
qwen-2.5-72b,2000,graph,43.1,227.0,0.18986784140969162
qwen-2.5-72b,2000,graph-cypher,39.266666666666666,227.0,0.17298091042584435
qwen-2.5-72b,2000,llm-only,43.516666666666666,227.0,0.19170337738619678
qwen-2.5-72b,2000,sql-fts,40.43333333333333,227.0,0.17812041116005872
qwen-2.5-72b,2000,sql-t2s,60.68333333333333,227.0,0.26732745961820853
qwen-2.5-72b,20000,graph,26.1,145.0,0.18000000000000002
qwen-2.5-72b,20000,graph-cypher,21.6,145.0,0.14896551724137932
qwen-2.5-72b,20000,llm-only,28.766666666666666,145.0,0.19839080459770114
qwen-2.5-72b,20000,sql-fts,27.016666666666666,145.0,0.18632183908045977
qwen-2.5-72b,20000,sql-t2s,41.516666666666666,145.0,0.2863218390804598
