model,type,best_system,best_score,second_system,second_score
claude-haiku-4-5,cohort,sql-t2s,0.7742857142857142,graph,0.7735294117647059
claude-haiku-4-5,multi-hop,sql-t2s,0.9415204678362573,graph-cypher,0.9310344827586207
claude-haiku-4-5,reasoning,sql-t2s,0.7950310559006211,graph-cypher,0.7824858757062146
claude-haiku-4-5,simple-lookup,sql-t2s,0.9069767441860465,graph-cypher,0.858139534883721
claude-haiku-4-5,temporal,graph-cypher,0.8154761904761905,sql-t2s,0.7974683544303798
claude-haiku-4-5,unanswerable,sql-fts,0.7439024390243902,sql-t2s,0.7302631578947368
llama-3.1-8b,cohort,sql-fts,0.4044943820224719,graph,0.13953488372093023
llama-3.1-8b,multi-hop,sql-fts,0.5520231213872833,llm-only,0.47701149425287354
llama-3.1-8b,reasoning,sql-fts,0.6944444444444444,llm-only,0.55
llama-3.1-8b,simple-lookup,sql-fts,0.8434579439252337,llm-only,0.7857142857142857
llama-3.1-8b,temporal,sql-fts,0.6845238095238095,llm-only,0.6480263157894737
llama-3.1-8b,unanswerable,llm-only,0.5895522388059702,sql-fts,0.5714285714285714
qwen-2.5-72b,cohort,graph,0.7528089887640449,sql-t2s,0.7391304347826086
qwen-2.5-72b,multi-hop,sql-t2s,0.6595092024539877,sql-fts,0.5117647058823529
qwen-2.5-72b,reasoning,sql-t2s,0.7484662576687117,llm-only,0.7426900584795322
qwen-2.5-72b,simple-lookup,sql-t2s,0.8762135922330098,graph-cypher,0.8271276595744681
qwen-2.5-72b,temporal,sql-t2s,0.7329192546583851,graph-cypher,0.6923076923076923
qwen-2.5-72b,unanswerable,graph,0.7409638554216867,sql-t2s,0.5866666666666667
