model,tier,system,n,mean,ci_lo,ci_hi
claude-haiku-4-5,200,graph,281,0.800711743772242,0.7597864768683275,0.8398576512455516
claude-haiku-4-5,200,graph-cypher,330,0.8242424242424242,0.7878787878787878,0.8560606060606061
claude-haiku-4-5,200,llm-only,262,0.6736641221374046,0.6221374045801527,0.7213740458015268
claude-haiku-4-5,200,sql-fts,315,0.5,0.44761904761904764,0.5507936507936508
claude-haiku-4-5,200,sql-t2s,291,0.8848797250859106,0.8556701030927835,0.9124140893470788
claude-haiku-4-5,2000,graph,326,0.7791411042944786,0.7392638036809815,0.8174846625766872
claude-haiku-4-5,2000,graph-cypher,332,0.7936746987951807,0.757492469879518,0.8283132530120482
claude-haiku-4-5,2000,llm-only,274,0.6277372262773723,0.5766423357664233,0.6770529197080289
claude-haiku-4-5,2000,sql-fts,334,0.4356287425149701,0.38922155688622756,0.4880239520958084
claude-haiku-4-5,2000,sql-t2s,333,0.8063063063063063,0.7657657657657657,0.8423423423423423
claude-haiku-4-5,20000,graph,327,0.7675840978593272,0.7262996941896025,0.808868501529052
claude-haiku-4-5,20000,graph-cypher,331,0.8368580060422961,0.8021148036253777,0.8700906344410876
claude-haiku-4-5,20000,llm-only,147,0.6156462585034014,0.5476190476190477,0.6870748299319728
claude-haiku-4-5,20000,sql-fts,333,0.4744744744744745,0.42342342342342343,0.5225225225225225
claude-haiku-4-5,20000,sql-t2s,332,0.8283132530120482,0.7951807228915663,0.8614457831325302
llama-3.1-8b,200,graph,329,0.09270516717325228,0.0668693009118541,0.12310030395136778
llama-3.1-8b,200,graph-cypher,331,0.08459214501510574,0.05740181268882175,0.11329305135951662
llama-3.1-8b,200,llm-only,274,0.614963503649635,0.5711678832116789,0.6642335766423357
llama-3.1-8b,200,sql-fts,333,0.6756756756756757,0.6321321321321322,0.720758258258258
llama-3.1-8b,200,sql-t2s,333,0.10510510510510511,0.07507507507507508,0.13817567567567546
llama-3.1-8b,2000,graph,325,0.21846153846153846,0.17846153846153845,0.26003846153846133
llama-3.1-8b,2000,graph-cypher,323,0.18575851393188855,0.14551083591331268,0.2260061919504644
llama-3.1-8b,2000,llm-only,272,0.6194852941176471,0.5716911764705882,0.6654411764705882
llama-3.1-8b,2000,sql-fts,333,0.6456456456456456,0.6036036036036037,0.6891891891891891
llama-3.1-8b,2000,sql-t2s,332,0.19879518072289157,0.15963855421686746,0.24096385542168675
llama-3.1-8b,20000,graph,306,0.16993464052287582,0.13394607843137254,0.20915032679738563
llama-3.1-8b,20000,graph-cypher,288,0.12152777777777778,0.08680555555555555,0.15625
llama-3.1-8b,20000,llm-only,188,0.5824468085106383,0.526595744680851,0.6356382978723404
llama-3.1-8b,20000,sql-fts,331,0.5921450151057401,0.5453172205438066,0.6359516616314199
llama-3.1-8b,20000,sql-t2s,303,0.16996699669966997,0.13366336633663367,0.20957095709570958
qwen-2.5-72b,200,graph,328,0.5975609756097561,0.5487423780487806,0.6448170731707317
qwen-2.5-72b,200,graph-cypher,293,0.5836177474402731,0.5357935153583617,0.6331484641638223
qwen-2.5-72b,200,llm-only,271,0.6107011070110702,0.559040590405904,0.6642066420664207
qwen-2.5-72b,200,sql-fts,331,0.48338368580060426,0.43202416918429004,0.5317220543806647
qwen-2.5-72b,200,sql-t2s,307,0.7361563517915309,0.6921824104234527,0.7801302931596091
qwen-2.5-72b,2000,graph,333,0.6171171171171171,0.566066066066066,0.6651651651651652
qwen-2.5-72b,2000,graph-cypher,310,0.5870967741935483,0.535483870967742,0.6339112903225804
qwen-2.5-72b,2000,llm-only,261,0.6628352490421456,0.6130268199233716,0.7126436781609196
qwen-2.5-72b,2000,sql-fts,321,0.5062305295950156,0.4532710280373832,0.5560747663551402
qwen-2.5-72b,2000,sql-t2s,317,0.7302839116719243,0.6892744479495269,0.7712933753943217
qwen-2.5-72b,20000,graph,327,0.6788990825688074,0.6345565749235474,0.7247706422018348
qwen-2.5-72b,20000,graph-cypher,297,0.6127946127946128,0.5639309764309764,0.6632996632996633
qwen-2.5-72b,20000,llm-only,167,0.6616766467065869,0.5958083832335329,0.7245508982035929
qwen-2.5-72b,20000,sql-fts,323,0.5619195046439629,0.5123839009287926,0.6114551083591331
qwen-2.5-72b,20000,sql-t2s,305,0.7655737704918033,0.7213114754098361,0.8065573770491803
