model,system,slope_per_log10_tier,ci_lo,ci_hi,intercept,r,p,n
claude-haiku-4-5,graph,-0.016431111645302934,-0.045254884812006256,0.012392661521400387,0.8366334158889918,-0.036620915850349656,0.2635399904365578,934
claude-haiku-4-5,graph-cypher,0.006326442931752118,-0.018508178981324747,0.031161064844828983,0.7973374442282811,0.015877762339428298,0.6172583017572515,993
claude-haiku-4-5,llm-only,-0.031012092198315053,-0.07310609453953613,0.011081910142906031,0.7399027534522318,-0.05534669996057097,0.14848493089027784,683
claude-haiku-4-5,sql-fts,-0.012274925630334034,-0.04805338020250922,0.02350352894184115,0.5101949981700797,-0.02150149384233767,0.5009413486760946,982
claude-haiku-4-5,sql-t2s,-0.02712714280181915,-0.05156602165877745,-0.0026882639448608456,0.9285770234399365,-0.0703510572018705,0.02962626442619891,956
llama-3.1-8b,graph,0.03968420758827786,0.01386529140217889,0.06550312377437684,0.029847841203741066,0.09699325903967926,0.0026262161204760855,960
llama-3.1-8b,graph-cypher,0.020443906140053585,-0.00443052386076382,0.04531833614087099,0.06402051540996181,0.05253567367233048,0.10709304893942703,942
llama-3.1-8b,llm-only,-0.014792952923017555,-0.050922790988399025,0.021336885142363912,0.6554093737601387,-0.029696721504666897,0.4217652823161447,734
llama-3.1-8b,sql-fts,-0.04175352414789035,-0.07305783190607407,-0.010449216389706646,0.7756596185372719,-0.08269214156774253,0.008995393647107643,997
llama-3.1-8b,sql-t2s,0.033423451560639465,0.006905975883485207,0.05994092723779372,0.048245356925264035,0.07933268580176833,0.013550753397117884,968
qwen-2.5-72b,graph,0.0406581893534465,0.006673755191073279,0.07464262351581971,0.49690012388232996,0.07455908287033357,0.019084711691447938,988
qwen-2.5-72b,graph-cypher,0.014614376327723621,-0.020937196672311035,0.05016594932775828,0.5461369970350284,0.026912856372313637,0.4200066728682741,900
qwen-2.5-72b,llm-only,0.027936725061453324,-0.012148312941705652,0.0680217630646123,0.5542827785234149,0.05176034342074611,0.1716445504425444,699
qwen-2.5-72b,sql-fts,0.0392017704278325,0.0044126828019493206,0.07399085805371569,0.387838512409897,0.070714147806897,0.0272456273067208,975
qwen-2.5-72b,sql-t2s,0.014685758709967935,-0.01591101131349633,0.0452825287334322,0.6953640352394952,0.03092350322723153,0.34645426066052576,929
