model,system,gt_suspect_rate,over_answered_rate,n
claude-haiku-4-5,graph,0.034261241970021415,0.02676659528907923,934
claude-haiku-4-5,graph-cypher,0.03927492447129909,0.1067472306143001,993
claude-haiku-4-5,llm-only,0.02635431918008785,0.04685212298682284,683
claude-haiku-4-5,sql-fts,0.020366598778004074,0.051934826883910386,982
claude-haiku-4-5,sql-t2s,0.04079497907949791,0.11297071129707113,956
llama-3.1-8b,graph,0.0125,0.008333333333333333,960
llama-3.1-8b,graph-cypher,0.008492569002123142,0.021231422505307854,942
llama-3.1-8b,llm-only,0.005449591280653951,0.02997275204359673,734
llama-3.1-8b,sql-fts,0.015045135406218655,0.017051153460381142,997
llama-3.1-8b,sql-t2s,0.004132231404958678,0.012396694214876033,968
qwen-2.5-72b,graph,0.010121457489878543,0.006072874493927126,988
qwen-2.5-72b,graph-cypher,0.01,0.06777777777777778,900
qwen-2.5-72b,llm-only,0.002861230329041488,0.010014306151645207,699
qwen-2.5-72b,sql-fts,0.008205128205128205,0.014358974358974359,975
qwen-2.5-72b,sql-t2s,0.00968783638320775,0.08073196986006459,929
